N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
45,오리온,"121,500","1,000",+0.83%,500,"48,036","39,536",41.97,"48,231",22.28,14.24,https://finance.naver.com/item/main.nhn?code=271560,271560
46,기업은행,"7,750",130,+1.71%,"5,000","44,730","577,157",17.47,"5,146,613",3.24,7.36,https://finance.naver.com/item/main.nhn?code=024110,024110
47,코웨이,"59,600",200,-0.33%,500,"43,985","73,800",60.37,"149,180",13.21,30.74,https://finance.naver.com/item/main.nhn?code=021240,021240
48,CJ제일제당,"268,000","6,000",-2.19%,"5,000","40,345","15,054",19.40,"54,796",28.78,3.16,https://finance.naver.com/item/main.nhn?code=097950,097950
49,LG디스플레이,"11,100",250,+2.30%,"5,000","39,718","357,816",22.14,"2,187,646",-1.40,-22.35,https://finance.naver.com/item/main.nhn?code=034220,034220
50,맥쿼리인프라,"11,350",0,0.00%,0,"39,617","349,044",24.71,"333,436",N/A,N/A,https://finance.naver.com/item/main.nhn?code=088980,088980
51,현대건설,"34,050",150,+0.44%,"5,000","37,917","111,356",19.31,"579,871",9.31,6.30,https://finance.naver.com/item/main.nhn?code=000720,000720
52,현대중공업지주,"230,000","2,500",-1.08%,"5,000","37,459","16,287",17.97,"40,729",21.62,2.20,https://finance.naver.com/item/main.nhn?code=267250,267250
53,현대글로비스,"99,100",800,+0.81%,500,"37,162","37,500",35.74,"124,812",7.40,11.25,https://finance.naver.com/item/main.nhn?code=086280,086280
54,미래에셋대우,"5,320",60,-1.12%,"5,000","35,022","658,316",14.27,"3,123,323",6.56,7.56,https://finance.naver.com/item/main.nhn?code=006800,006800
55,롯데지주,"33,150","4,450",+15.51%,200,"34,777","104,909",10.84,"2,459,473",-9.76,-5.21,https://finance.naver.com/item/main.nhn?code=004990,004990
56,GS,"37,400",700,-1.84%,"5,000","34,750","92,915",21.95,"283,293",6.51,6.26,https://finance.naver.com/item/main.nhn?code=078930,078930
57,이마트,"119,500",0,0.00%,"5,000","33,312","27,876",32.12,"188,971",14.24,2.76,https://finance.naver.com/item/main.nhn?code=139480,139480
58,CJ대한통운,"146,000","4,000",-2.67%,"5,000","33,306","22,812",19.24,"40,397",83.86,1.41,https://finance.naver.com/item/main.nhn?code=000120,000120
59,삼성카드,"28,500",400,-1.38%,"5,000","33,020","115,859",10.85,"117,889",9.60,5.04,https://finance.naver.com/item/main.nhn?code=029780,029780
60,KODEX 레버리지,"10,130",15,+0.15%,0,"32,801","323,800",0.30,"73,349,711",N/A,N/A,https://finance.naver.com/item/main.nhn?code=122630,122630
61,LG이노텍,"136,500",500,+0.37%,"5,000","32,306","23,667",28.95,"236,713",31.58,4.73,https://finance.naver.com/item/main.nhn?code=011070,011070
